Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sports,0.02,0.01,0.0,0.0,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.03,0.0,0.01,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Racing,0.03,0.0,0.0,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Platform,0.03,0.0,0.0,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Racing,0.0,0.03,0.0,0.01,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Racing,0.03,0.0,0.0,0.0,0.03
Strategy,0.0,0.03,0.0,0.01,0.03
Strategy,0.0,0.03,0.0,0.01,0.03
Adventure,0.02,0.01,0.0,0.0,0.03
Puzzle,0.01,0.02,0.0,0.01,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Puzzle,0.03,0.01,0.0,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.03,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Simulation,0.02,0.01,0.0,0.0,0.03
Sports,0.03,0.01,0.0,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.03,0.0,0.01,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.03,0.0,0.01,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Action,0.03,0.01,0.0,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Simulation,0.03,0.0,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.03,0.0,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Strategy,0.01,0.02,0.0,0.01,0.03
Simulation,0.03,0.0,0.0,0.0,0.03
Action,0.02,0.01,0.01,0.0,0.03
Simulation,0.02,0.01,0.0,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Platform,0.0,0.0,0.03,0.0,0.03
Platform,0.03,0.0,0.0,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.02,0.0,0.01,0.03
Adventure,0.0,0.03,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Simulation,0.03,0.0,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Action,0.0,0.03,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Racing,0.03,0.0,0.0,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.03,0.0,0.01,0.03
Misc,0.0,0.03,0.0,0.0,0.03
Misc,0.0,0.03,0.0,0.0,0.03
Adventure,0.0,0.03,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Sports,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.03,0.0,0.01,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.01,0.0,0.02,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Misc,0.01,0.0,0.02,0.0,0.03
Racing,0.03,0.0,0.0,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.02,0.0,0.01,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.02,0.0,0.01,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.03,0.0,0.0,0.03
Misc,0.01,0.02,0.0,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.02,0.01,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.03,0.0,0.0,0.0,0.03
Role-Playing,0.03,0.0,0.0,0.0,0.03
Shooter,0.0,0.0,0.03,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.03,0.0,0.01,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Fighting,0.01,0.02,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Platform,0.0,0.02,0.0,0.01,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Puzzle,0.0,0.03,0.0,0.0,0.03
Strategy,0.0,0.03,0.0,0.01,0.03
Action,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.03,0.0,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Misc,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Platform,0.0,0.03,0.0,0.01,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.03,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Platform,0.0,0.0,0.03,0.0,0.03
Action,0.01,0.01,0.0,0.0,0.03
Shooter,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.03,0.0,0.0,0.0,0.03
Puzzle,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.02,0.0,0.01,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Simulation,0.03,0.0,0.0,0.0,0.03
Sports,0.0,0.03,0.0,0.01,0.03
Strategy,0.0,0.03,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Racing,0.0,0.03,0.0,0.0,0.03
Sports,0.0,0.02,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.03,0.0,0.01,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.02,0.0,0.01,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Role-Playing,0.02,0.0,0.0,0.0,0.03
Role-Playing,0.02,0.01,0.0,0.0,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Strategy,0.0,0.02,0.0,0.01,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.02,0.0,0.0,0.01,0.03
Action,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.03,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Shooter,0.01,0.01,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Misc,0.0,0.03,0.0,0.0,0.03
Misc,0.0,0.03,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Simulation,0.01,0.01,0.0,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.02,0.0,0.01,0.03
Role-Playing,0.01,0.01,0.0,0.0,0.03
Role-Playing,0.02,0.0,0.01,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.03,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Shooter,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Shooter,0.02,0.01,0.0,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Platform,0.0,0.0,0.03,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.03,0.0,0.0,0.03
Action,0.0,0.02,0.0,0.01,0.03
Action,0.01,0.01,0.0,0.0,0.03
Action,0.01,0.02,0.0,0.0,0.03
Shooter,0.03,0.0,0.0,0.0,0.03
Puzzle,0.02,0.01,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Misc,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.02,0.01,0.0,0.0,0.03
Platform,0.03,0.0,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Racing,0.0,0.02,0.0,0.01,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Puzzle,0.02,0.01,0.0,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Misc,0.01,0.0,0.02,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.02,0.0,0.01,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Strategy,0.02,0.01,0.0,0.0,0.03
Shooter,0.0,0.02,0.0,0.01,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Shooter,0.02,0.01,0.0,0.0,0.03
Simulation,0.01,0.01,0.0,0.0,0.03
Strategy,0.02,0.01,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Fighting,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.03,0.0,0.0,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Platform,0.0,0.02,0.0,0.01,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Shooter,0.02,0.01,0.0,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Racing,0.0,0.03,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Puzzle,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Strategy,0.02,0.01,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Strategy,0.02,0.01,0.0,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.02,0.0,0.01,0.03
Action,0.02,0.01,0.0,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.02,0.0,0.01,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Action,0.0,0.03,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Action,0.01,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Racing,0.03,0.0,0.0,0.0,0.03
Sports,0.0,0.02,0.0,0.01,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Strategy,0.01,0.01,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Sports,0.0,0.03,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Racing,0.03,0.0,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.02,0.0,0.01,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.03,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.02,0.0,0.0,0.03
Simulation,0.0,0.02,0.0,0.01,0.03
Action,0.02,0.0,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.03,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Puzzle,0.0,0.03,0.0,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Action,0.0,0.02,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.02,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.02,0.0,0.01,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Shooter,0.01,0.01,0.0,0.0,0.03
Shooter,0.01,0.01,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Sports,0.0,0.02,0.0,0.01,0.03
Action,0.02,0.01,0.0,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.02,0.01,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Racing,0.01,0.01,0.0,0.0,0.03
Shooter,0.02,0.0,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Simulation,0.03,0.0,0.0,0.0,0.03
Strategy,0.02,0.01,0.0,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.01,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Racing,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.03,0.0,0.0,0.03
Misc,0.03,0.0,0.0,0.0,0.03
Sports,0.02,0.0,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Misc,0.01,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Shooter,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Action,0.01,0.01,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.03,0.0,0.0,0.03
Misc,0.0,0.02,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Strategy,0.0,0.03,0.0,0.0,0.03
Role-Playing,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.02,0.01,0.0,0.0,0.03
Misc,0.0,0.03,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Puzzle,0.0,0.02,0.0,0.01,0.03
Platform,0.0,0.03,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.02,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.0,0.02,0.0,0.0,0.03
Role-Playing,0.0,0.02,0.0,0.0,0.03
Misc,0.0,0.02,0.0,0.0,0.03
Shooter,0.0,0.02,0.0,0.0,0.03
Adventure,0.02,0.01,0.0,0.0,0.03
Misc,0.0,0.02,0.0,0.01,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.02,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Racing,0.0,0.03,0.0,0.0,0.03
Fighting,0.02,0.01,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Puzzle,0.03,0.0,0.0,0.0,0.03
Strategy,0.0,0.02,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Fighting,0.02,0.01,0.0,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.02,0.0,0.01,0.03
Action,0.02,0.0,0.0,0.01,0.03
Action,0.0,0.02,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.02,0.0,0.0,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Misc,0.0,0.02,0.0,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.02,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Puzzle,0.02,0.0,0.0,0.0,0.03
Simulation,0.0,0.03,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Simulation,0.03,0.0,0.0,0.0,0.03
Role-Playing,0.0,0.02,0.0,0.01,0.03
Action,0.0,0.02,0.0,0.0,0.03
Racing,0.0,0.02,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.02,0.0,0.01,0.03
Misc,0.02,0.01,0.0,0.0,0.03
Shooter,0.02,0.01,0.0,0.0,0.03
Racing,0.01,0.01,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Simulation,0.03,0.0,0.0,0.0,0.03
Misc,0.02,0.01,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.01,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Strategy,0.0,0.02,0.0,0.0,0.03
Shooter,0.0,0.02,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Puzzle,0.0,0.02,0.0,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.02,0.0,0.0,0.03
Role-Playing,0.0,0.02,0.0,0.01,0.03
Shooter,0.02,0.01,0.0,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Simulation,0.0,0.02,0.0,0.0,0.03
Adventure,0.03,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Platform,0.02,0.01,0.0,0.0,0.03
Sports,0.0,0.02,0.0,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Role-Playing,0.0,0.0,0.03,0.0,0.03
Shooter,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.02,0.0,0.0,0.03
Strategy,0.0,0.02,0.0,0.01,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Misc,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.0,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Simulation,0.01,0.01,0.0,0.0,0.03
Shooter,0.01,0.0,0.01,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.02,0.0,0.0,0.03
Platform,0.02,0.0,0.0,0.0,0.03
Adventure,0.02,0.0,0.0,0.01,0.03
Racing,0.0,0.03,0.0,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.0,0.0,0.01,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Racing,0.02,0.01,0.0,0.0,0.03
Sports,0.02,0.0,0.0,0.0,0.03
Racing,0.02,0.0,0.0,0.0,0.03
Puzzle,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Shooter,0.02,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Fighting,0.0,0.0,0.03,0.0,0.03
Simulation,0.01,0.01,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Action,0.02,0.0,0.0,0.0,0.03
Action,0.02,0.01,0.0,0.0,0.03
Strategy,0.0,0.02,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Misc,0.02,0.0,0.0,0.0,0.03
Role-Playing,0.02,0.01,0.0,0.0,0.03
Racing,0.0,0.02,0.0,0.0,0.03
Platform,0.01,0.01,0.0,0.0,0.03
Role-Playing,0.0,0.02,0.0,0.0,0.03
Role-Playing,0.0,0.02,0.0,0.01,0.03
Action,0.01,0.01,0.0,0.0,0.03
Shooter,0.0,0.02,0.0,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Simulation,0.0,0.02,0.0,0.01,0.03
Action,0.01,0.01,0.0,0.0,0.03
Platform,0.0,0.0,0.02,0.0,0.03
Shooter,0.0,0.02,0.0,0.01,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Racing,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.02,0.0,0.01,0.03
Action,0.0,0.02,0.0,0.0,0.03
Simulation,0.02,0.0,0.0,0.0,0.03
Role-Playing,0.02,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Strategy,0.0,0.0,0.03,0.0,0.03
Shooter,0.02,0.0,0.0,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Shooter,0.0,0.0,0.03,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Shooter,0.01,0.01,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Puzzle,0.01,0.01,0.0,0.0,0.03
Sports,0.0,0.0,0.03,0.0,0.03
Platform,0.01,0.01,0.0,0.0,0.03
Shooter,0.0,0.02,0.0,0.0,0.03
Simulation,0.0,0.0,0.03,0.0,0.03
Action,0.0,0.0,0.03,0.0,0.03
Platform,0.02,0.0,0.0,0.0,0.03
Adventure,0.0,0.0,0.03,0.0,0.03
Sports,0.02,0.01,0.0,0.0,0.03
Racing,0.01,0.01,0.0,0.0,0.03
Strategy,0.02,0.0,0.0,0.0,0.03
Simulation,0.02,0.0,0.0,0.0,0.03
Action,0.02,0.0,0.0,0.0,0.03
